Handle,Title,10K Weight (g),14K Weight (g),18K Weight (g),Diamond Shapes,Total Diamonds,Diamond Weight (each),Total Diamond Weight,Size,Dimensions,10K Price,14K Price,18K Price,Diamond Price,Gold Price (14K),Making Charge,GST,Total Price (14K)
"the-orions-symphony-bracelet","The Orion's Symphony Bracelet",8.17,9.1375,10.75,"Marquise, Pear, Emerald, Heart, Round","4, 6, 7, 6, 7","0.0525, 0.355, 0.35714. 0.44167, 0.4","0.21, 2.13, 2.5, 2.65, 2.8ct","6.5","4*2, 6*4, 5*3.5, 5*5, 4.5",221651,249351,288950,159748,71147,11193,7263,249351
"brilliant-line-adjustable-bracelet","Brilliant Line Adjustable Bracelet",7.942,8.8825,10.45,"Round","18","0.33","5.94ct",,"4.3",170888,197816,236310,112011,69162,10881,5762,197816
"elegance-curve-diamond-bracelet","Elegance Curve Diamond Bracelet",14.212,15.895,18.7,"ROUND","21","0.165","3.465ct",,"3.5",151203,199388,268273,50347,123763,19471,5807,199388
"luxe-emerald-diamond-bracelet","Luxe Emerald Diamond Bracelet",12.502,13.9825,16.45,"Emerald","31","0.3","9.3ct","7","4.5*3.3",294664,337053,397649,201235,108872,17129,9817,337053
"the-streamline-bracelet","The Streamline Bracelet",9.462,10.5825,12.45,"Round","22","0.09","1.98ct","61.52 (diameter)",,93742,125824,171686,26797,82399,12964,3665,125824
"marquese-flower-clustered-bracelet","Marquese Flower Clustered Bracelet",19.76,22.1,26,"Round, Marquese","14, 56","0.3, 0.17589","4.2, 9.85ct","7",,438776,505773,601548,291892,172078,27073,14731,505773
"the-modern-heirloom-bracelet","The Modern Heirloom Bracelet",8.816,9.86,11.6,"Princess","76","0.06","4.56ct","7",,164175,194066,236796,99562,76773,12079,5652,194066
"statement-collar-pendant","Statement Collar Pendant",2.8196,3.1535,3.71,"CUSHION, round","1, 22","3, 0.035","3, 0.77ct",,"9.2*7.42, 2",143944,153504,167170,120616,24554,3863,4471,153504
"the-princess-cut-solitaire","The Princess Cut Solitaire",0.5396,0.6035,0.71,"PRINCESS","1","0.75","0.75ct",,"5",22388,24246,26910,17838,4699,1003,706,24246
"the-princess-solitaire","The Princess Solitaire",0.608,0.68,0.8,"PRINCESS","1","1","1ct",,"5.5*5.5",35012,37106,40107,29600,5295,1131,1081,37106
"the-half-pave-arc-pendant","The Half Pave Arc Pendant",0.76,0.85,1,"round","1","1","1ct",,"6.5",34855,37472,41224,28350,6618,1413,1091,37472
"the-essential-spark-pendant","The Essential Spark Pendant",0.38,0.425,0.5,"round","1","0.5","0.5ct",,"5",14686,15994,17869,11513,3309,707,466,15994
"the-grid-tennis-bracelet","The Grid Tennis Pendant",0.646,0.7225,0.85,"round","1","1","1ct",,"6.5",34008,36232,39420,28350,5626,1201,1055,36232
"the-tear-drop-essential-pendant","The Tear Drop Essential Pendant",0.7068,0.705,0.93,"PEAR","1","1","1ct",,"7.5*5.7",35747,37349,41670,29600,5489,1172,1088,37349
"the-simple-crescent-pendant","The Simple Crescent Pendant",2.09,2.3375,2.75,"round, round","10, 6","0.02, 0.03","0.2,0.18ct",,"1.7, 1.9",23593,30680,40810,8722,18201,2863,894,30680
"the-eternal-drop-pendant","The Eternal Drop Pendant",2.014,2.2525,2.65,"round, round, round, pear","17, 29, 1, 1","0.006, 0.008, 0.01, 3.84","0.10.2,0.232,0.01,3.84ct",,,172775,179603,189366,154074,17539,2759,5231,179603
"the-classic-halo-drop-pendant","The Classic Halo Drop Pendant",1.558,1.7425,2.05,"round, round","19, 1","0.015, 2.1","0.285, 2.1ct",,"1.5, 8.2",86559,91924,98692,72783,13568,2897,2677,91924
"the-heriloom-square-pendant","The Heriloom Square Pendant",0.6992,0.782,0.92,"Princess","1","1.04","1.04ct",,"5.5",36875,39283,42735,30750,6089,1300,1144,39283
"the-aurora-zenith-drop","The Aurora Zenith Drop",2.1052,2.3545,2.77,"round, round, round, CUSHION SQUARE, round","4, 60, 5, 1, 2","0.006, 0.008, 0.012, 0.22, 0.008","0.024,0.48,0.06,0.22,0.016ct",,"1.1,1.2,1.4,3.5,1.2",43345,50483,60687,27796,18333,2884,1470,50483
"the-glissed-pendant","The Glissed Pendant",0.76,0.85,1,"round, round, round","1, 1, 1","0.5, 0.4, 0.21","05,0.4,0.21ct",,"5,4.5,3.7",30702,33319,37071,24318,6618,1413,970,33319
"the-deco-stream-pendant","The Deco Stream Pendant",1.8092,2.0145,2.37,"EMERALD, round, Round","1, 8, 16","1.5, 0.015, 0.02","1.5, 0.12. 0.32ct",,"7.5*5.5, 1.5, 1.7",69210,74445,83176,54124,15686,2468,2168,74445
"the-modern-harmony-pendant","The Modern Harmony Pendant",1.064,1.19,1.4,"round","21",,"0.105ct",,"1mm",8793,12457,17709,850,9266,1978,363,12457
"the-horizon-circle-necklace","The Horizon Circle Necklace",2.1812,2.4395,2.87,"emerald, Pear, Marq, Round","3, 4, 5, 4","0.0667, 0.145, 0.052, 0.165","0.2, 0.58, 0.26, 0.66ct",,"3.25*2.4, 4.4*3, 4*2, 3.5",52345,59740,70312,36017,18995,2988,1740,59740
"the-flora-lariat-neckalce","The Flora Lariat Necklace",9.3708,10.4805,10.33,"PEAR, Round","25",,"11.828, 2.2ct",,"6.5*4.1, 3mm",66379,98152,120426,850,81604,12839,2859,98152
"the-solstice-stream-necklace","The Solstice Stream Necklace",16.2792,18.207,21.42,"Pear, Round","45, 55","0.08, 0.05","3.6, 2.75ct",,"3.9*2.35, 2.3",231893,287089,365992,114658,141765,22304,8362,287089
"the-empress-drop-necklace","The Empress Drop Necklace",25.65,28.6875,33.75,"Round, Round","1, 80","2.85, 0.31","2.85, 24.8ct",,"9.2, 4.2",746997,833965,958288,551163,223370,35142,24290,833965
